IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.221.9.176,443,443,true,IAD,North America,Ashburn,212,8.76
34.65.169.129,443,443,true,FRA,Europe,Frankfurt,183,8.75
34.122.12.237,443,443,true,ORD,North America,Chicago,205,8.71
35.232.160.115,443,443,true,ORD,North America,Chicago,204,8.71
34.154.249.101,443,443,true,FRA,Europe,Frankfurt,163,8.66
34.118.24.250,443,443,true,FRA,Europe,Frankfurt,187,8.66
34.124.121.119,443,443,true,YYZ,North America,Toronto,209,8.65
34.122.129.224,443,443,true,ORD,North America,Chicago,209,8.64
34.65.81.138,443,443,true,FRA,Europe,Frankfurt,176,8.64
34.65.65.83,443,443,true,FRA,Europe,Frankfurt,185,8.63
34.124.121.119,443,443,true,YYZ,North America,Toronto,210,8.63
34.118.7.218,443,443,true,AMS,Europe,Amsterdam,213,8.63
34.116.249.141,443,443,true,FRA,Europe,Frankfurt,197,8.61
34.65.179.48,443,443,true,FRA,Europe,Frankfurt,164,8.60
34.65.19.239,443,443,true,FRA,Europe,Frankfurt,177,8.58
34.91.133.170,443,443,true,FRA,Europe,Frankfurt,165,8.58
34.107.31.245,443,443,true,FRA,Europe,Frankfurt,202,8.54
34.65.117.28,443,443,true,FRA,Europe,Frankfurt,167,8.53
34.116.143.167,443,443,true,FRA,Europe,Frankfurt,225,8.49
34.118.122.123,443,443,true,FRA,Europe,Frankfurt,207,8.48
34.65.63.65,443,443,true,FRA,Europe,Frankfurt,179,8.45
35.196.72.166,443,0,true,ATL,North America,Atlanta,218,8.38
34.90.153.175,443,443,true,FRA,Europe,Frankfurt,179,8.36
34.65.29.108,443,443,true,FRA,Europe,Frankfurt,174,8.36
34.65.152.34,443,443,true,FRA,Europe,Frankfurt,169,8.32
34.118.65.140,443,443,true,FRA,Europe,Frankfurt,186,8.29
34.124.121.119,443,443,true,YYZ,North America,Toronto,210,8.26
34.148.187.247,443,443,true,ATL,North America,Atlanta,217,8.26
34.65.42.175,443,443,true,FRA,Europe,Frankfurt,176,8.25
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,166,8.24
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,166,8.20
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.20
34.118.87.30,443,443,true,FRA,Europe,Frankfurt,189,8.19
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.16
35.204.2.49,443,443,true,FRA,Europe,Frankfurt,161,8.11
34.148.187.247,443,443,true,ATL,North America,Atlanta,350,8.11
34.159.244.122,443,443,true,AMS,Europe,Amsterdam,155,8.07
34.116.213.20,443,443,true,FRA,Europe,Frankfurt,186,8.04
34.65.81.138,443,443,true,FRA,Europe,Frankfurt,166,8.04
34.65.161.35,443,443,true,FRA,Europe,Frankfurt,166,7.99
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,188,7.99
34.159.11.68,443,443,true,FRA,Europe,Frankfurt,165,7.97
34.74.105.17,80,8080,false,ATL,North America,Atlanta,219,7.94
34.116.182.70,443,443,true,FRA,Europe,Frankfurt,206,7.93
35.185.75.107,443,443,true,ATL,North America,Atlanta,217,7.88
34.65.149.96,443,443,true,FRA,Europe,Frankfurt,198,7.75
34.91.133.170,443,443,true,FRA,Europe,Frankfurt,193,7.72
34.65.116.198,443,443,true,FRA,Europe,Frankfurt,182,7.70
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,162,7.65
34.118.68.169,443,443,true,FRA,Europe,Frankfurt,203,7.65
34.65.231.140,443,443,true,FRA,Europe,Frankfurt,166,7.64
34.65.179.48,443,443,true,FRA,Europe,Frankfurt,166,7.60
34.159.55.124,443,443,true,FRA,Europe,Frankfurt,189,7.51
34.118.3.82,443,443,true,FRA,Europe,Frankfurt,184,7.50
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,173,7.46
34.118.77.33,443,443,true,FRA,Europe,Frankfurt,185,7.30
34.34.186.205,443,443,true,CDG,Europe,Paris,226,7.30
34.118.58.201,443,443,true,FRA,Europe,Frankfurt,199,7.29
34.118.118.199,443,443,true,FRA,Europe,Frankfurt,218,7.28
34.65.197.0,443,443,true,FRA,Europe,Frankfurt,189,7.28
34.65.117.28,443,443,true,FRA,Europe,Frankfurt,164,7.24
34.65.85.125,443,443,true,FRA,Europe,Frankfurt,186,7.22
34.159.190.23,443,443,true,FRA,Europe,Frankfurt,154,7.22
34.65.7.113,443,443,true,FRA,Europe,Frankfurt,169,7.20
34.65.188.48,443,443,true,FRA,Europe,Frankfurt,177,7.08
34.65.85.125,443,443,true,FRA,Europe,Frankfurt,181,7.06
34.65.79.91,443,443,true,FRA,Europe,Frankfurt,172,7.05
34.118.25.40,443,443,true,FRA,Europe,Frankfurt,199,7.05
34.65.16.137,443,443,true,FRA,Europe,Frankfurt,176,6.99
34.65.97.221,443,443,true,FRA,Europe,Frankfurt,174,6.94
34.65.197.216,443,443,true,FRA,Europe,Frankfurt,174,6.93
34.118.61.66,443,443,true,FRA,Europe,Frankfurt,190,6.92
34.65.169.129,443,443,true,FRA,Europe,Frankfurt,175,6.90
34.118.65.106,443,443,true,FRA,Europe,Frankfurt,182,6.86
34.65.29.108,443,443,true,FRA,Europe,Frankfurt,177,6.83
34.116.191.48,443,443,true,FRA,Europe,Frankfurt,188,6.81
34.65.89.88,443,443,true,FRA,Europe,Frankfurt,175,6.79
34.65.16.137,443,443,true,FRA,Europe,Frankfurt,166,6.77
34.91.160.73,443,443,true,FRA,Europe,Frankfurt,164,6.76
35.237.127.69,80,0,false,ATL,North America,Atlanta,218,6.73
34.65.134.234,443,443,true,FRA,Europe,Frankfurt,190,6.69
34.65.48.167,443,443,true,FRA,Europe,Frankfurt,186,6.67
34.154.233.5,443,443,true,FRA,Europe,Frankfurt,172,6.67
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,195,6.67
34.32.213.29,443,443,true,FRA,Europe,Frankfurt,178,6.66
34.65.235.165,443,443,true,FRA,Europe,Frankfurt,179,6.66
34.65.30.192,443,443,true,FRA,Europe,Frankfurt,183,6.63
34.65.222.96,443,443,true,FRA,Europe,Frankfurt,166,6.62
34.65.188.48,443,443,true,FRA,Europe,Frankfurt,167,6.62
34.118.106.198,443,443,true,FRA,Europe,Frankfurt,187,6.60
34.65.81.138,443,443,true,FRA,Europe,Frankfurt,167,6.52
34.65.128.135,443,443,true,FRA,Europe,Frankfurt,178,6.52
34.118.103.144,443,443,true,FRA,Europe,Frankfurt,190,6.51
34.65.19.239,443,443,true,FRA,Europe,Frankfurt,177,6.50
34.65.171.211,443,443,true,FRA,Europe,Frankfurt,173,6.50
34.65.252.234,443,443,true,FRA,Europe,Frankfurt,176,6.47
34.66.72.229,443,443,true,ORD,North America,Chicago,246,6.47
34.65.92.255,443,443,true,FRA,Europe,Frankfurt,176,6.44
34.116.198.247,443,443,true,FRA,Europe,Frankfurt,186,6.42
34.65.92.153,443,443,true,SIN,Asia Pacific,Singapore,180,6.40
34.118.3.150,443,443,true,FRA,Europe,Frankfurt,189,6.40
34.65.150.201,443,443,true,FRA,Europe,Frankfurt,176,6.38
34.65.27.74,443,443,true,FRA,Europe,Frankfurt,177,6.38
34.65.238.73,443,443,true,FRA,Europe,Frankfurt,181,6.38
34.65.177.174,443,443,true,FRA,Europe,Frankfurt,175,6.34
34.118.65.49,443,443,true,FRA,Europe,Frankfurt,215,6.33
34.65.97.221,443,443,true,FRA,Europe,Frankfurt,202,6.33
34.65.252.157,443,443,true,FRA,Europe,Frankfurt,180,6.32
34.65.197.126,443,443,true,FRA,Europe,Frankfurt,176,6.30
34.65.85.72,443,443,true,AMS,Europe,Amsterdam,177,6.27
34.65.224.8,443,443,true,FRA,Europe,Frankfurt,171,6.27
34.65.249.150,443,443,true,FRA,Europe,Frankfurt,171,6.24
34.65.169.36,443,443,true,FRA,Europe,Frankfurt,171,6.23
34.118.1.28,443,443,true,FRA,Europe,Frankfurt,174,6.22
34.65.153.209,443,443,true,FRA,Europe,Frankfurt,175,6.22
34.65.134.234,443,443,true,FRA,Europe,Frankfurt,177,6.22
34.65.241.102,443,443,true,FRA,Europe,Frankfurt,174,6.21
34.116.253.70,443,443,true,FRA,Europe,Frankfurt,246,6.19
34.65.252.234,443,443,true,FRA,Europe,Frankfurt,174,6.19
34.116.187.139,443,443,true,FRA,Europe,Frankfurt,260,6.18
34.65.89.88,443,443,true,FRA,Europe,Frankfurt,179,6.17
34.65.29.108,443,443,true,FRA,Europe,Frankfurt,180,6.16
34.118.3.82,443,443,true,FRA,Europe,Frankfurt,236,6.15
34.65.209.66,443,443,true,FRA,Europe,Frankfurt,176,6.09
34.65.103.93,443,443,true,AMS,Europe,Amsterdam,185,6.07
34.65.116.198,443,443,true,FRA,Europe,Frankfurt,174,6.06
34.65.197.126,443,443,true,FRA,Europe,Frankfurt,176,6.06
34.118.4.182,443,443,true,FRA,Europe,Frankfurt,191,5.98
34.116.168.27,443,443,true,FRA,Europe,Frankfurt,202,5.98
34.65.222.96,443,443,true,FRA,Europe,Frankfurt,191,5.95
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,162,5.94
35.228.140.197,8443,443,true,ARN,Europe,Stockholm,248,5.93
34.118.1.202,443,443,true,FRA,Europe,Frankfurt,191,5.92
34.65.24.163,443,443,true,FRA,Europe,Frankfurt,177,5.90
34.118.69.177,443,443,true,SIN,Asia Pacific,Singapore,206,5.89
34.118.75.245,443,443,true,FRA,Europe,Frankfurt,185,5.83
34.65.188.136,443,443,true,FRA,Europe,Frankfurt,174,5.83
34.159.209.133,443,443,true,FRA,Europe,Frankfurt,179,5.79
34.118.3.47,443,443,true,FRA,Europe,Frankfurt,189,5.79
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,198,5.77
34.65.199.119,443,443,true,FRA,Europe,Frankfurt,185,5.77
34.118.77.243,443,443,true,FRA,Europe,Frankfurt,202,5.73
34.65.209.66,443,443,true,FRA,Europe,Frankfurt,183,5.72
34.65.99.191,443,443,true,FRA,Europe,Frankfurt,180,5.70
34.65.222.113,443,443,true,FRA,Europe,Frankfurt,169,5.69
34.118.36.2,443,443,true,FRA,Europe,Frankfurt,187,5.69
34.90.254.101,443,443,true,FRA,Europe,Frankfurt,165,5.68
34.65.58.16,443,443,true,FRA,Europe,Frankfurt,186,5.65
34.65.47.187,443,443,true,SIN,Asia Pacific,Singapore,227,5.64
34.116.224.197,443,443,true,FRA,Europe,Frankfurt,235,5.57
34.65.79.91,443,443,true,FRA,Europe,Frankfurt,176,5.57
34.116.191.142,443,443,true,FRA,Europe,Frankfurt,251,5.53
34.65.137.118,443,443,true,FRA,Europe,Frankfurt,182,5.50
34.65.182.101,443,443,true,FRA,Europe,Frankfurt,187,5.44
34.116.222.76,443,443,true,FRA,Europe,Frankfurt,189,5.42
34.118.31.147,443,443,true,FRA,Europe,Frankfurt,194,5.41
34.116.217.71,443,443,true,FRA,Europe,Frankfurt,189,5.40
34.116.187.139,443,443,true,FRA,Europe,Frankfurt,177,5.37
34.118.115.199,443,443,true,FRA,Europe,Frankfurt,196,5.32
34.65.241.102,443,443,true,FRA,Europe,Frankfurt,186,5.27
34.118.56.10,443,443,true,FRA,Europe,Frankfurt,208,4.99
34.118.1.108,443,443,true,FRA,Europe,Frankfurt,193,4.96
34.65.174.75,443,443,true,FRA,Europe,Frankfurt,165,4.95
34.65.246.204,443,443,true,FRA,Europe,Frankfurt,179,4.90
34.118.123.17,443,443,true,FRA,Europe,Frankfurt,248,4.90
34.118.116.97,443,443,true,FRA,Europe,Frankfurt,205,4.67
34.65.197.71,443,443,true,AMS,Europe,Amsterdam,163,4.31
34.65.103.93,443,443,true,FRA,Europe,Frankfurt,219,3.99
34.65.184.228,443,443,true,FRA,Europe,Frankfurt,175,3.89
34.159.5.116,443,443,true,FRA,Europe,Frankfurt,164,3.84
34.65.47.187,443,443,true,FRA,Europe,Frankfurt,176,3.71
34.65.187.42,443,443,true,FRA,Europe,Frankfurt,179,3.67
34.65.7.113,443,443,true,FRA,Europe,Frankfurt,187,3.61
34.65.42.175,443,443,true,FRA,Europe,Frankfurt,180,3.59
34.65.63.65,443,443,true,FRA,Europe,Frankfurt,178,3.54
34.65.48.167,443,443,true,AMS,Europe,Amsterdam,178,3.25
34.65.15.16,443,443,true,FRA,Europe,Frankfurt,207,3.18
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,164,2.92
34.147.101.117,2086,80,false,AMS,Europe,Amsterdam,165,2.92
35.229.161.32,443,443,true,TPE,Asia Pacific,Taipei,44,2.82
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,164,2.73
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,161,2.71
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,168,2.70
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,167,2.69
34.141.221.33,2086,80,false,AMS,Europe,Amsterdam,161,2.69
34.141.221.33,2083,80,false,AMS,Europe,Amsterdam,164,2.69
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,161,2.68
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,165,2.67
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,165,2.64
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,167,2.63
35.187.41.171,2087,80,false,CDG,Europe,Paris,164,2.62
34.147.101.117,2087,80,false,AMS,Europe,Amsterdam,165,2.61
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,164,2.61
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,164,2.58
35.187.41.171,2083,80,false,CDG,Europe,Paris,165,2.51
34.141.248.249,2095,80,false,AMS,Europe,Amsterdam,167,2.50
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,164,2.49
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,166,2.47
34.147.101.117,2083,80,false,AMS,Europe,Amsterdam,164,2.44
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,163,2.44
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,161,2.42
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,161,2.42
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,165,2.38
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,161,2.34
35.194.241.8,8080,80,false,TPE,Asia Pacific,Taipei,41,1.02
34.120.198.225,80,0,false,SIN,Asia Pacific,Singapore,16,0.13
34.110.176.152,80,0,false,SIN,Asia Pacific,Singapore,15,0.10
35.229.172.56,80,0,false,TPE,Asia Pacific,Taipei,41,0.09
34.128.66.175,80,0,false,SIN,Asia Pacific,Singapore,29,0.08
35.188.72.3,80,0,false,ORD,North America,Chicago,216,0.07
34.121.160.133,80,0,false,ORD,North America,Chicago,215,0.06
34.121.160.133,80,0,false,ORD,North America,Chicago,218,0.06
34.134.91.160,80,0,false,ORD,North America,Chicago,206,0.06
34.150.3.141,80,0,false,HKG,Asia Pacific,Hong Kong,51,0.05
34.150.3.141,80,0,false,HKG,Asia Pacific,Hong Kong,37,0.05
35.244.119.6,443,0,true,SYD,Oceania,Sydney,122,0.04
35.244.119.6,443,0,true,SYD,Oceania,Sydney,133,0.04
104.155.53.64,80,0,false,CDG,Europe,Paris,173,0.04
34.92.111.70,80,0,false,HKG,Asia Pacific,Hong Kong,37,0.04
34.67.161.168,80,0,false,ORD,North America,Chicago,229,0.04
34.146.45.46,80,0,false,HKG,Asia Pacific,Hong Kong,75,0.04
34.146.45.46,80,0,false,LAX,North America,Los Angeles,75,0.04
34.69.253.52,80,0,false,ORD,North America,Chicago,206,0.04
34.67.161.168,80,0,false,ORD,North America,Chicago,205,0.04
34.67.161.168,80,0,false,ORD,North America,Chicago,206,0.04
35.188.72.3,443,0,true,ORD,North America,Chicago,216,0.04
34.69.253.52,80,0,false,ORD,North America,Chicago,206,0.03
35.227.246.247,80,0,false,SIN,Asia Pacific,Singapore,2,0.03
34.107.208.220,80,0,false,SIN,Asia Pacific,Singapore,2,0.03
35.230.234.174,80,0,false,SIN,Asia Pacific,Singapore,4,0.03
34.144.230.100,80,0,false,SJC,North America,San Jose,17,0.02
34.121.17.180,80,0,false,ORD,North America,Chicago,230,0.02
34.107.208.220,80,0,false,SIN,Asia Pacific,Singapore,8,0.02
34.101.196.118,80,0,false,SIN,Asia Pacific,Singapore,37,0.02
34.135.54.87,80,0,false,ORD,North America,Chicago,206,0.02
34.101.196.118,80,0,false,SIN,Asia Pacific,Singapore,15,0.02
34.111.68.8,80,0,false,SIN,Asia Pacific,Singapore,38,0.02
34.95.223.251,80,0,false,GRU,South America,São Paulo,323,0.01
34.95.223.251,80,0,false,GRU,South America,São Paulo,326,0.01
34.95.223.251,80,0,false,GRU,South America,São Paulo,323,0.01
34.95.223.251,80,0,false,GRU,South America,São Paulo,322,0.01
34.92.228.196,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.01
34.92.228.196,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.01
34.92.228.196,80,80,false,HKG,Asia Pacific,Hong Kong,37,0.01
34.81.205.253,80,80,false,TPE,Asia Pacific,Taipei,44,0.01
34.81.205.253,80,80,false,TPE,Asia Pacific,Taipei,42,0.01
34.81.205.253,80,80,false,TPE,Asia Pacific,Taipei,43,0.01
35.184.199.202,80,0,false,ORD,North America,Chicago,205,0.01
34.92.228.196,443,443,true,HKG,Asia Pacific,Hong Kong,67,0.01
34.81.205.253,443,443,true,TPE,Asia Pacific,Taipei,42,0.01
34.92.228.196,443,443,true,HKG,Asia Pacific,Hong Kong,47,0.01
34.81.205.253,443,443,true,TPE,Asia Pacific,Taipei,44,0.01
34.92.228.196,443,443,true,HKG,Asia Pacific,Hong Kong,37,0.01
34.81.205.253,443,443,true,TPE,Asia Pacific,Taipei,44,0.01
34.96.67.175,80,0,false,KUL,Asia Pacific,Kuala Lumpur,26,0.01
34.96.225.108,8080,0,false,HKG,Asia Pacific,Hong Kong,37,0.01
34.87.17.86,80,0,false,SIN,Asia Pacific,Singapore,3,0.01
34.80.222.234,80,0,false,HKG,Asia Pacific,Hong Kong,42,0.00
34.80.222.234,80,0,false,HKG,Asia Pacific,Hong Kong,64,0.00
34.80.222.234,80,0,false,HKG,Asia Pacific,Hong Kong,47,0.00
34.96.225.108,8080,0,false,HKG,Asia Pacific,Hong Kong,74,0.00
34.120.124.61,80,0,false,SIN,Asia Pacific,Singapore,26,0.00
34.96.225.108,8080,0,false,HKG,Asia Pacific,Hong Kong,56,0.00
34.96.93.19,80,0,false,SIN,Asia Pacific,Singapore,24,0.00
35.184.27.144,80,0,false,ORD,North America,Chicago,204,0.00
34.92.111.70,80,0,false,HKG,Asia Pacific,Hong Kong,37,0.00
34.96.93.19,80,0,false,SIN,Asia Pacific,Singapore,1,0.00
34.126.143.153,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
34.126.143.153,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
35.230.48.122,8080,0,false,SEA,North America,Seattle,160,0.00
34.123.217.194,80,0,false,ORD,North America,Chicago,204,0.00
34.123.217.194,80,0,false,ORD,North America,Chicago,204,0.00
34.68.51.16,80,0,false,ORD,North America,Chicago,205,0.00
34.132.254.201,80,0,false,ORD,North America,Chicago,205,0.00
34.68.51.16,80,0,false,ORD,North America,Chicago,206,0.00
34.135.13.56,80,0,false,ORD,North America,Chicago,206,0.00
34.96.67.175,80,0,false,KUL,Asia Pacific,Kuala Lumpur,1,0.00
34.120.203.240,80,0,false,SIN,Asia Pacific,Singapore,14,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,156,0.00
34.120.203.240,80,0,false,SIN,Asia Pacific,Singapore,4,0.00
35.244.140.128,80,0,false,LHR,Europe,London,19,0.00
35.240.116.140,80,0,false,CDG,Europe,Paris,229,0.00
34.120.35.204,80,0,false,IAD,North America,Ashburn,14,0.00
34.100.190.34,80,0,false,BOM,Asia Pacific,Mumbai,110,0.00
34.77.233.91,80,0,false,CDG,Europe,Paris,162,0.00
34.77.233.91,80,0,false,CDG,Europe,Paris,165,0.00
34.77.233.91,80,0,false,CDG,Europe,Paris,168,0.00
34.126.112.176,8080,0,false,SIN,Asia Pacific,Singapore,1,0.00
34.107.191.120,80,0,false,SIN,Asia Pacific,Singapore,11,0.00
34.107.191.120,80,0,false,SIN,Asia Pacific,Singapore,11,0.00
34.126.112.176,8080,0,false,SIN,Asia Pacific,Singapore,1,0.00
34.107.201.158,80,0,false,IAD,North America,Ashburn,23,0.00
34.107.201.158,80,0,false,IAD,North America,Ashburn,22,0.00
34.105.123.165,80,0,false,SEA,North America,Seattle,156,0.00
34.105.123.165,80,0,false,SEA,North America,Seattle,176,0.00
34.105.123.165,80,0,false,SEA,North America,Seattle,156,0.00
34.36.101.99,80,0,false,SIN,Asia Pacific,Singapore,16,0.00
34.102.244.136,80,0,false,SIN,Asia Pacific,Singapore,8,0.00
35.220.132.211,8080,0,false,HKG,Asia Pacific,Hong Kong,37,0.00
34.142.184.16,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
34.110.195.160,80,80,false,SIN,Asia Pacific,Singapore,1,0.00
34.110.205.106,80,0,false,SIN,Asia Pacific,Singapore,1,0.00
35.240.165.181,80,0,false,SIN,Asia Pacific,Singapore,1,0.00
35.187.227.55,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
35.230.236.158,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
35.244.184.119,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
35.227.211.1,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
34.87.141.229,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
34.142.170.31,80,0,false,SIN,Asia Pacific,Singapore,3,0.00
35.186.153.145,80,0,false,SIN,Asia Pacific,Singapore,3,0.00
34.87.17.86,80,0,false,SIN,Asia Pacific,Singapore,5,0.00
34.117.11.142,80,0,false,SIN,Asia Pacific,Singapore,13,0.00
130.211.8.184,80,0,false,SIN,Asia Pacific,Singapore,15,0.00
34.143.203.62,80,0,false,SIN,Asia Pacific,Singapore,15,0.00
34.120.222.161,80,0,false,SIN,Asia Pacific,Singapore,17,0.00
34.117.85.196,80,0,false,SIN,Asia Pacific,Singapore,21,0.00
34.101.99.100,80,0,false,SIN,Asia Pacific,Singapore,26,0.00
34.149.110.146,80,0,false,SIN,Asia Pacific,Singapore,31,0.00
34.92.111.70,80,0,false,HKG,Asia Pacific,Hong Kong,36,0.00
34.92.111.70,80,0,false,HKG,Asia Pacific,Hong Kong,38,0.00
34.80.222.225,80,443,false,SIN,Asia Pacific,Singapore,41,0.00
34.111.151.28,80,0,false,SIN,Asia Pacific,Singapore,41,0.00
35.201.163.180,80,443,false,SIN,Asia Pacific,Singapore,41,0.00
35.201.153.235,443,443,true,HKG,Asia Pacific,Hong Kong,42,0.00
34.101.44.165,80,0,false,SIN,Asia Pacific,Singapore,56,0.00
34.128.84.187,80,0,false,SIN,Asia Pacific,Singapore,60,0.00
34.93.62.7,80,80,false,BOM,Asia Pacific,Mumbai,65,0.00
34.22.100.72,443,0,true,ICN,Asia Pacific,Seoul,72,0.00
34.84.154.47,80,0,false,NRT,Asia Pacific,Tokyo,73,0.00
34.84.154.47,80,0,false,NRT,Asia Pacific,Tokyo,73,0.00
34.84.154.47,80,0,false,NRT,Asia Pacific,Tokyo,74,0.00
34.84.154.47,80,0,false,NRT,Asia Pacific,Tokyo,74,0.00
34.101.99.100,80,0,false,SIN,Asia Pacific,Singapore,80,0.00
34.107.122.127,443,443,true,FRA,Europe,Frankfurt,154,0.00
34.141.84.126,80,0,false,FRA,Europe,Frankfurt,155,0.00
34.83.36.143,80,80,false,SEA,North America,Seattle,155,0.00
35.233.172.5,80,0,false,SEA,North America,Seattle,155,0.00
35.197.23.75,443,443,true,SEA,North America,Seattle,156,0.00
34.82.76.253,443,443,true,SEA,North America,Seattle,156,0.00
